L,x,uz
0.5,0.0,-1.1430128827898355e-21
0.5,0.005050505050505051,9.163369654981887e-10
0.5,0.010101010101010102,1.8326739309971186e-09
0.5,0.015151515151515152,2.7490108964966044e-09
0.5,0.020202020202020204,3.665347861995508e-09
0.5,0.025252525252525256,4.5816848274941995e-09
0.5,0.030303030303030304,5.4980217929925735e-09
0.5,0.03535353535353536,6.414358758492006e-09
0.5,0.04040404040404041,7.330695723990804e-09
0.5,0.045454545454545456,8.247032689488543e-09
0.5,0.05050505050505051,9.163369654986705e-09
0.5,0.05555555555555556,1.0079706620487197e-08
0.5,0.06060606060606061,1.09960435859843e-08
0.5,0.06565656565656566,1.1912380551481827e-08
0.5,0.07070707070707072,1.2828717516981895e-08
0.5,0.07575757575757576,1.3745054482481116e-08
0.5,0.08080808080808081,1.4661391447977373e-08
0.5,0.08585858585858587,1.557772841347871e-08
0.5,0.09090909090909091,1.6494065378972427e-08
0.5,0.09595959595959597,1.7410402344469107e-08
0.5,0.10101010101010102,1.8326739309971716e-08
0.5,0.10606060606060606,1.924307627546162e-08
0.5,0.11111111111111112,2.015941324096338e-08
0.5,0.11616161616161617,2.1075750206465144e-08
0.5,0.12121212121212122,2.1992087171961824e-08
0.5,0.12626262626262627,2.2908424137457657e-08
0.5,0.13131313131313133,2.382476110296196e-08
0.5,0.13636363636363638,2.4741098068453558e-08
0.5,0.14141414141414144,2.5657435033951932e-08
0.5,0.14646464646464646,2.6573771999453694e-08
0.5,0.15151515151515152,2.7490108964944445e-08
0.5,0.15656565656565657,2.84064459304479e-08
0.5,0.16161616161616163,2.932278289593357e-08
0.5,0.16666666666666669,3.023911986144126e-08
0.5,0.17171717171717174,3.115545682693286e-08
0.5,0.1767676767676768,3.2071793792436315e-08
0.5,0.18181818181818182,3.2988130757924524e-08
0.5,0.18686868686868688,3.390446772342883e-08
0.5,0.19191919191919193,3.482080468891365e-08
0.5,0.196969696969697,3.573714165442219e-08
0.5,0.20202020202020204,3.665347861990955e-08
0.5,0.2070707070707071,3.756981558541555e-08
0.5,0.21212121212121213,3.848615255091138e-08
0.5,0.21717171717171718,3.9402489516412296e-08
0.5,0.22222222222222224,4.03188264819166e-08
0.5,0.2272727272727273,4.1235163447405656e-08
0.5,0.23232323232323235,4.215150041290318e-08
0.5,0.2373737373737374,4.3067837378378687e-08
0.5,0.24242424242424243,4.398417434388807e-08
0.5,0.2474747474747475,4.4900511309375435e-08
0.5,0.25252525252525254,4.581684827486449e-08
0.5,0.2575757575757576,4.673318524037388e-08
0.5,0.26262626262626265,4.764952220589004e-08
0.5,0.2676767676767677,4.856585917136554e-08
0.5,0.27272727272727276,4.948219613686646e-08
0.5,0.2777777777777778,5.0398533102343656e-08
0.5,0.2828282828282829,5.1314870067858124e-08
0.5,0.2878787878787879,5.223120703333871e-08
0.5,0.29292929292929293,5.3147543998839625e-08
0.5,0.297979797979798,5.406388096431513e-08
0.5,0.30303030303030304,5.498021792983637e-08
0.5,0.3080808080808081,5.58965548953339e-08
0.5,0.31313131313131315,5.681289186080263e-08
0.5,0.31818181818181823,5.772922882633573e-08
0.5,0.32323232323232326,5.864556579177735e-08
0.5,0.3282828282828283,5.956190275730029e-08
0.5,0.33333333333333337,6.047823972280798e-08
0.5,0.3383838383838384,6.139457668830551e-08
0.5,0.3434343434343435,6.231091365382845e-08
0.5,0.3484848484848485,6.322725061927685e-08
0.5,0.3535353535353536,6.414358758478962e-08
0.5,0.3585858585858586,6.505992455027529e-08
0.5,0.36363636363636365,6.597626151578806e-08
0.5,0.36868686868686873,6.689259848129575e-08
0.5,0.37373737373737376,6.780893544677803e-08
0.5,0.37878787878787884,6.872527241224507e-08
0.5,0.38383838383838387,6.964160937776462e-08
0.5,0.3888888888888889,7.0557946343274e-08
0.5,0.393939393939394,7.147428330874951e-08
0.5,0.398989898989899,7.239062027425042e-08
0.5,0.4040404040404041,7.330695723974117e-08
0.5,0.4090909090909091,7.422329420521498e-08
0.5,0.4141414141414142,7.513963117071929e-08
0.5,0.4191919191919192,7.605596813617954e-08
0.5,0.42424242424242425,7.697230510174822e-08
0.5,0.42929292929292934,7.788864206717799e-08
0.5,0.43434343434343436,7.880497903267213e-08
0.5,0.43939393939393945,7.972131599818998e-08
0.5,0.4444444444444445,8.063765296370106e-08
0.5,0.44949494949494956,8.155398992912744e-08
0.5,0.4545454545454546,8.247032689466901e-08
0.5,0.4595959595959596,8.338666386020042e-08
0.5,0.4646464646464647,8.430300082565729e-08
0.5,0.4696969696969697,8.521933779117853e-08
0.5,0.4747474747474748,8.613567475663201e-08
0.5,0.47979797979797983,8.705201172216003e-08
0.5,0.48484848484848486,8.796834868763384e-08
0.5,0.48989898989898994,8.888468565314153e-08
0.5,0.494949494949495,8.980102261866617e-08
0.5,0.5,9.071735958413998e-08
0.6111111111111112,0.0,-1.5055660877409923e-21
0.6111111111111112,0.00617283950617284,1.5869157650237291e-09
0.6111111111111112,0.01234567901234568,3.1738315300481994e-09
0.6111111111111112,0.01851851851851852,4.760747295072987e-09
0.6111111111111112,0.02469135802469136,6.3476630600974576e-09
0.6111111111111112,0.0308641975308642,7.934578825121504e-09
0.6111111111111112,0.03703703703703704,9.521494590145975e-09
0.6111111111111112,0.04320987654320988,1.110841035516981e-08
0.6111111111111112,0.04938271604938272,1.2695326120192374e-08
0.6111111111111112,0.05555555555555556,1.428224188521748e-08
0.6111111111111112,0.0617283950617284,1.5869157650240468e-08
0.6111111111111112,0.06790123456790124,1.7456073415264303e-08
0.6111111111111112,0.07407407407407408,1.9042989180289408e-08
0.6111111111111112,0.08024691358024692,2.0629904945311972e-08
0.6111111111111112,0.08641975308641976,2.221682071033623e-08
0.6111111111111112,0.0925925925925926,2.3803736475361337e-08
0.6111111111111112,0.09876543209876544,2.5390652240382207e-08
0.6111111111111112,0.10493827160493828,2.6977568005400536e-08
0.6111111111111112,0.11111111111111112,2.8564483770428183e-08
0.6111111111111112,0.11728395061728396,3.0151399535451594e-08
0.6111111111111112,0.1234567901234568,3.17383153004767e-08
0.6111111111111112,0.12962962962962965,3.332523106549503e-08
0.6111111111111112,0.1358024691358025,3.491214683051505e-08
0.6111111111111112,0.14197530864197533,3.649906259553592e-08
0.6111111111111112,0.14814814814814817,3.808597836056018e-08
0.6111111111111112,0.154320987654321,3.967289412558444e-08
0.6111111111111112,0.16049382716049385,4.1259809890603616e-08
0.6111111111111112,0.16666666666666669,4.284672565561771e-08
0.6111111111111112,0.17283950617283952,4.443364142064536e-08
0.6111111111111112,0.17901234567901236,4.602055718566792e-08
0.6111111111111112,0.1851851851851852,4.7607472950682015e-08
0.6111111111111112,0.19135802469135804,4.919438871571305e-08
0.6111111111111112,0.19753086419753088,5.0781304480732227e-08
0.6111111111111112,0.20370370370370372,5.236822024575479e-08
0.6111111111111112,0.20987654320987656,5.3955136010780744e-08
0.6111111111111112,0.2160493827160494,5.5542051775798226e-08
0.6111111111111112,0.22222222222222224,5.712896754080893e-08
0.6111111111111112,0.22839506172839508,5.871588330585352e-08
0.6111111111111112,0.23456790123456792,6.030279907086592e-08
0.6111111111111112,0.24074074074074076,6.18897148358851e-08
0.6111111111111112,0.2469135802469136,6.347663060090427e-08
0.6111111111111112,0.25308641975308643,6.506354636591667e-08
0.6111111111111112,0.2592592592592593,6.665046213092738e-08
0.6111111111111112,0.2654320987654321,6.823737789595502e-08
0.6111111111111112,0.271604938271605,6.98242936609742e-08
0.6111111111111112,0.2777777777777778,7.141120942600354e-08
0.6111111111111112,0.28395061728395066,7.299812519100747e-08
0.6111111111111112,0.29012345679012347,7.458504095604698e-08
0.6111111111111112,0.29629629629629634,7.61719567210526e-08
0.6111111111111112,0.30246913580246915,7.775887248609041e-08
0.6111111111111112,0.308641975308642,7.934578825110112e-08
0.6111111111111112,0.3148148148148148,8.09327040160915e-08
0.6111111111111112,0.3209876543209877,8.251961978113947e-08
0.6111111111111112,0.3271604938271605,8.410653554613324e-08
0.6111111111111112,0.33333333333333337,8.569345131120154e-08
0.6111111111111112,0.3395061728395062,8.72803670761953e-08
0.6111111111111112,0.34567901234567905,8.88672828412365e-08
0.6111111111111112,0.35185185185185186,9.04541986062201e-08
0.6111111111111112,0.3580246913580247,9.204111437121387e-08
0.6111111111111112,0.36419753086419754,9.36280301362754e-08
0.6111111111111112,0.3703703703703704,9.521494590133354e-08
0.6111111111111112,0.3765432098765432,9.680186166627987e-08
0.6111111111111112,0.3827160493827161,9.838877743127025e-08
0.6111111111111112,0.3888888888888889,9.997569319633855e-08
0.6111111111111112,0.39506172839506176,1.0156260896138991e-07
0.6111111111111112,0.40123456790123463,1.0314952472637352e-07
0.6111111111111112,0.40740740740740744,1.0473644049142149e-07
0.6111111111111112,0.4135802469135803,1.0632335625639493e-07
0.6111111111111112,0.4197530864197531,1.0791027202145646e-07
0.6111111111111112,0.425925925925926,1.0949718778641973e-07
0.6111111111111112,0.4320987654320988,1.1108410355151514e-07
0.6111111111111112,0.43827160493827166,1.1267101931646147e-07
0.6111111111111112,0.4444444444444445,1.1425793508150606e-07
0.6111111111111112,0.45061728395061734,1.1584485084654048e-07
0.6111111111111112,0.45679012345679015,1.1743176661153086e-07
0.6111111111111112,0.462962962962963,1.1901868237653817e-07
0.6111111111111112,0.46913580246913583,1.206055981415692e-07
0.6111111111111112,0.4753086419753087,1.2219251390660363e-07
0.6111111111111112,0.4814814814814815,1.23779429671594e-07
0.6111111111111112,0.4876543209876544,1.2536634543659794e-07
0.6111111111111112,0.4938271604938272,1.2695326120161542e-07
0.6111111111111112,0.5,1.2854017696663968e-07
0.6111111111111112,0.5061728395061729,1.3012709273166055e-07
0.6111111111111112,0.5123456790123457,1.317140084967153e-07
0.6111111111111112,0.5185185185185186,1.3330092426168535e-07
0.6111111111111112,0.5246913580246914,1.3488784002664184e-07
0.6111111111111112,0.5308641975308642,1.364747557916966e-07
0.6111111111111112,0.5370370370370371,1.380616715567073e-07
0.6111111111111112,0.54320987654321,1.3964858732168074e-07
0.6111111111111112,0.5493827160493827,1.4123550308676598e-07
0.6111111111111112,0.5555555555555556,1.4282241885178008e-07
0.6111111111111112,0.5617283950617284,1.444093346167569e-07
0.6111111111111112,0.5679012345679013,1.4599625038184892e-07
